"('Person', 'grunt')",192
"('Person', 'chew')",191
"('Person', 'picture')",191
"('Person', 'blurt')",190
"('Person', 'bark')",190
"('Person', 'look', 'Person')",189
"('Person', 'land')",189
"('Person', 'turn', 'light')",188
"('Person', 'visit')",188
"('Person', 'stir')",188
"('Person', 'turn', 'face')",188
"('Person', 'be', 'more')",188
"('Person', 'regret')",187
"('Person', 'suck')",186
"('Person', 'meet', 'he')",186
"('Person', 'resist')",186
"('Person', 'do', 'same')",186
"('Person', 'moan')",186
"('Person', 'swim')",186
"('Person', 'shut', 'door')",186
"('Person', 'wear', 'shirt')",185
"('Person', 'be', 'much')",185
"('Person', 'lose', 'Person')",185
"('Person', 'have', 'much')",185
"('Person', 'be', 'upset')",185
"('Person', 'collapse')",184
"('Person', 'scowl')",184
"('Person', 'proceed')",184
"('Person', 'grimace')",184
"('Person', 'swing')",184
"('Person', 'hate', 'it')",183
"('Person', 'know', 'she')",182
"('Person', 'reach', 'hand')",182
"('Person', 'be', 'impressed')",182
"('Person', 'arrange')",181
"('Person', 'feel', 'Person')",181
"('Person', 'see', 'that')",180
"('Person', 'accept')",180
"('Person', 'pick', 'Person')",180
"('Person', 'kill', 'Person')",180
"('Person', 'keep', 'it')",179
"('Person', 'stretch')",179
"('Person', 'be', 'furious')",179
"('Person', 'hover')",178
"('Person', 'read', 'book')",178
"('Person', 'leave', 'room')",177
"('Person', 'beam')",177
"('Person', 'be', 'nothing')",177
"('Person', 'be', 'unable')",176
"('Person', 'feel', 'something')",176
"('Person', 'be', 'cold')",176
"('Person', 'hear', 'he')",176
"('Person', 'be', 'curious')",176
"('Person', 'squeeze', 'hand')",176
"('Person', 'be', 'small')",175
"('Person', 'lead', 'Person')",175
"('Person', 'recognize', 'Person')",175
"('Person', 'remember', 'time')",175
"('Person', 'pass', 'Person')",174
"('Person', 'react')",172
"('Person', 'look', 'window')",172
"('Person', 'join')",172
"('Person', 'have', 'job')",172
"('Person', 'invite')",171
"('Person', 'kiss', 'she')",171
"('Person', 'study')",171
"('Person', 'call', 'she')",171
"('Person', 'ignore', 'he')",170
"('Person', 'need', 'you')",170
"('Person', 'vanish')",170
"('Person', 'shriek')",170
"('Person', 'concentrate')",169
"('Person', 'retreat')",169
"('Person', 'close')",169
"('Person', 'kiss', 'he')",168
"('Person', 'concede')",168
"('Person', 'see', 'something')",168
"('Person', 'feel', 'way')",167
"('Person', 'pull', 'it')",167
"('Person', 'turn', 'back')",167
"('Person', 'find', 'she')",167
"('Person', 'be', 'full')",167
"('Person', 'like', 'he')",166
"('Person', 'be', 'shocked')",166
"('Person', 'hold', 'arm')",165
"('Person', 'venture')",165
"('Person', 'meet', 'eye')",165
"('Person', 'be', 'here')",165
"('Person', 'cross', 'arm')",165
"('Person', 'stroll')",164
"('Person', 'want', 'you')",164
"('Person', 'sweat')",164
"('Person', 'make', 'effort')",163
"('Person', 'serve')",163
"('Person', 'thank', 'he')",163
"('Person', 'bite')",163
"('Person', 'reflect')",162
"('Person', 'raise', 'glass')",162
"('Person', 'hop')",162
"('Person', 'help', 'Person')",162
"('Person', 'wrap', 'arm')",162
"('Person', 'click')",161
"('Person', 'put', 'they')",161
"('Person', 'object')",161
"('Person', 'be', 'delighted')",161
"('Person', 'chat')",160
"('Person', 'be', 'desperate')",159
"('Person', 'ring')",159
"('Person', 'see', 'anything')",159
"('Person', 'let', 'go')",159
"('Person', 'be', 'sad')",159
"('Person', 'prepare')",158
"('Person', 'comment')",158
"('Person', 'escape')",157
"('Person', '’m', 'one')",157
"('Person', 'slump')",157
"('Person', 'be', 'eager')",157
"('Person', 'have', 'life')",157
"('Person', 'become')",157
"('Person', 'want', 'she')",156
"('Person', 'invite', 'Person')",156
"('Person', 'be', 'frightened')",155
"('Person', 'understand', 'it')",155
"('Person', 'gon')",155
"('Person', 'be', 'short')",155
"('Person', 'give', 'laugh')",155
"('Person', 'have', 'thought')",155
"('Person', 'wail')",154
"('Person', 'have', 'kind')",153
"('Person', 'know', 'thing')",153
"('Person', 'catch', 'eye')",153
"('Person', 'check', 'watch')",153
"('Person', 'say', 'this')",152
"('Person', 'float')",152
"('Person', 'be', 'startled')",152
"('Person', 'relax')",152
"('Person', 'play', 'game')",152
"('Person', 'burn')",152
"('Person', 'smirk')",152
"('Person', 'be', 'strong')",152
"('Person', 'see', 'thing')",152
"('Person', 'become', 'aware')",152
"('Person', 'take', 'glass')",151
"('Person', 'roar')",151
"('Person', 'inhale')",151
"('Person', 'lower', 'voice')",151
"('Person', 'fuck')",151
"('Person', 'have', 'sex')",150
"('Person', 'keep', 'Person')",150
"('Person', 'watch', 'they')",150
"('Person', 'be', 'exhausted')",150
"('Person', 'smile', 'smile')",150
"('Person', 'hit')",149
"('Person', 'thank', 'Person')",149
"('Person', 'pull', 'chair')",149
"('Person', 'play', 'Person')",149
"('Person', 'take', 'phone')",149
"('Person', 'rest')",148
"('Person', 'succeed')",148
"('Person', 'have', 'interest')",147
"('Person', 'make', 'note')",146
"('Person', 'open', 'window')",146
"('Person', 'be', 'quick')",146
"('Person', 'flee')",146
"('Person', 'lift')",146
"('Person', 'catch', 'sight')",146
"('Person', 'ask', 'they')",146
"('Person', 'want', 'he')",145
"('Person', 'describe')",145
"('Person', 'afford')",145
"('Person', 'blow')",144
"('Person', 'be', 'amazed')",144
"('Person', 'have', 'dream')",144
"('Person', 'hand', 'it')",144
"('Person', 'take', 'bite')",144
"('Person', 'get', 'job')",143
"('Person', 'lead', 'he')",142
"('Person', 'spring')",142
"('Person', 'have', 'doubt')",142
"('Person', 'be', 'mad')",141
"('Person', 'feel', 'need')",141
"('Person', 'tremble')",141
"('Person', 'need', 'it')",141
"('Person', 'nod', 'head')",140
"('Person', 'change', 'mind')",140
"('Person', 'persist')",140
"('Person', 'race')",140
"('Person', 'like', 'that')",140
"('Person', 'push', 'Person')",139
"('Person', 'be', 'twenty')",139
"('Person', 'mention', 'Person')",139
"('Person', 'confirm')",139
"('Person', 'deserve')",139
"('Person', 'fold', 'arm')",139
"('Person', 'have', 'voice')",139
"('Person', 'lay', 'hand')",139
"('Person', 'pick', 'phone')",139
"('Person', 'volunteer')",139
"('Person', 'narrow', 'eye')",139
"('Person', 'show', 'you')",138
"('Person', 'say', 'Person')",138
"('Person', 'notice', 'Person')",138
"('Person', 'muse')",138
"('Person', 'have', 'word')",138
"('Person', 'growl')",138
"('Person', 'appreciate')",138
"('Person', 'leave', 'she')",138
"('Person', 'be', 'fond')",137
"('Person', 'answer', 'question')",137
"('Person', 'tell', 'truth')",137
"('Person', 'make', 'decision')",137
"('Person', 'lean', 'head')",137
"('Person', 'buy', 'it')",136
"('Person', 'live', 'life')",136
"('Person', 'pour', 'glass')",136
"('Person', 'turn', 'page')",136
"('Person', 'choke')",136
"('Person', 'read', 'Person')",136
"('Person', 'be', 'scared')",136
"('Person', 'clap', 'hand')",136
"('Person', 'turn', 'attention')",136
"('Person', 'hear', 'footstep')",135
"('Person', 'open', 'drawer')",135
"('Person', 'inquire')",135
"('Person', 'rub')",135
"('Person', 'hug')",135
"('Person', 'be', 'name')",135
"('Person', 'stammer')",135
"('Person', 'rub', 'eye')",135
"('Person', 'have', 'conversation')",134
"('Person', 'make', 'gesture')",134
"('Person', 'behave')",134
"('Person', 'have', 'name')",134
"('Person', 'be', 'conscious')",134
"('Person', 'take', 'picture')",134
"('Person', 'be', 'handsome')",134
"('Person', 'raise', 'arm')",133
"('Person', 'turn', 'Person')",133
"('Person', 'speak', 'Person')",133
"('Person', 'quit')",133
"('Person', 'be', 'thin')",133
"('Person', 'do', 'job')",133
"('Person', 'cook')",133
"('Person', 'assure')",133
"('Person', 'kiss', 'Person')",132
"('Person', 'scoff')",132
"('Person', 'have', 'question')",132
"('Person', 'know', 'what')",132
"('Person', 'curse')",132
"('Person', 'confide')",132
"('Person', 'put', 'phone')",132
"('Person', 'hand')",132
"('Person', 'move', 'hand')",132
"('Person', 'see', 'one')",131
"('Person', 'extend', 'hand')",131
"('Person', 'be', 'way')",131
"('Person', 'stiffen')",131
"('Person', 'take', 'eye')",130
"('Person', 'set', 'it')",130
"('Person', 'be', 'big')",130
"('Person', 'be', 'disappointed')",130
"('Person', 'have', 'intention')",130
"('Person', 'fit')",130
"('Person', 'wan')",130
"('Person', 'take', 'moment')",130
"('Person', 'feel', 'hand')",129
"('Person', 'panic')",129
"('Person', 'wash')",129
"('Person', 'resolve')",129
"('Person', 'assure', 'he')",128
"('Person', 'prove')",128
"('Person', 'marvel')",128
"('Person', 'have', 'answer')",128
"('Person', 'recognize', 'he')",128
"('Person', 'do', 'Person')",128
"('Person', 'rummage')",127
"('Person', 'hire', 'Person')",127
"('Person', 'be', 'bit')",127
"('Person', 'get', 'he')",127
"('Person', 'twist')",127
"('Person', 'remember', 'it')",127
"('Person', 'leave', 'house')",126
"('Person', 'disagree')",126
"('Person', 'make', 'point')",126
"('Person', 'do', 'everything')",126
"('Person', 'shrink')",126
"('Person', 'think', 'it')",126
"('Person', 'be', 'calm')",126
"('Person', 'find', 'himself')",125
"('Person', 'know', 'everything')",125
"('Person', 'be', 'stupid')",125
"('Person', 'pop')",125
"('Person', 'ignore')",125
"('Person', 'dive')",124
"('Person', 'avoid')",124
"('Person', 'text')",124
"('Person', 'advise')",124
"('Person', 'threaten')",124
"('Person', 'remind', 'she')",124
"('Person', 'raise')",124
"('Person', 'bow', 'head')",124
"('Person', 'call', 'name')",123
"('Person', 'be', 'crazy')",123
"('Person', 'urge')",123
"('Person', 'like', 'idea')",123
"('Person', 'spend', 'most')",123
"('Person', 'whistle')",123
"('Person', 'be', 'younger')",123
"('Person', 'sip')",123
"('Person', 'skip')",123
"('Person', 'curl')",123
"('Person', 'sway')",122
"('Person', 'propose')",122
"('Person', 'help', 'she')",122
"('Person', 'recover')",122
"('Person', 'be', 'late')",121
"('Person', 'tell', 'thing')",121
"('Person', 'join', 'Person')",121
"('Person', 'correct')",121
"('Person', 'like', 'way')",121
"('Person', 'leave', 'they')",121
"('Person', 'hear', 'you')",121
"('Person', 'know', 'much')",121
"('Person', 'stoop')",121
